dish washer,electric space heater,electric stove,fridge,microwave,washer dryer,main,timestamp
0.2,0.0,0.0,191.8,4.0,0.0,360.6079956054,2025-01-01 00:00:00
0.0,0.0,0.0,192.2,4.0,0.0,360.102001953,2025-01-01 00:00:05
0.2,0.0,0.0,190.6,4.0,0.0,358.3659973146,2025-01-01 00:00:10
0.0,0.0,0.0,190.4,4.0,0.0,358.0140014648,2025-01-01 00:00:15
0.0,0.0,0.0,190.0,4.0,0.0,358.553991699,2025-01-01 00:00:20
0.2,0.0,0.0,189.2,4.0,0.0,358.1519958496,2025-01-01 00:00:25
0.2,0.0,0.0,190.2,4.0,0.0,358.4140014648,2025-01-01 00:00:30
0.0,0.0,0.0,189.6,4.0,0.0,358.4579956056,2025-01-01 00:00:35
0.2,0.0,0.0,189.8,4.0,0.0,356.31799316440004,2025-01-01 00:00:40
0.2,0.0,0.0,187.2,4.0,0.0,356.305999756,2025-01-01 00:00:45
0.4,0.0,0.0,188.4,4.0,0.0,355.42800903340003,2025-01-01 00:00:50
2.0,0.0,1.0,431.2,4.0,0.2,600.8060058596,2025-01-01 00:00:55
2.0,0.0,0.6,429.8,4.0,0.4,599.4919799806,2025-01-01 00:01:00
2.0,0.0,1.0,429.0,4.0,0.8,598.5579956054,2025-01-01 00:01:05
2.0,0.0,1.0,428.0,4.0,0.6,598.7479858398,2025-01-01 00:01:10
2.0,0.0,1.0,427.0,4.0,0.2,598.0599975588,2025-01-01 00:01:15
2.0,0.0,0.8,427.0,4.0,0.2,597.1780029298,2025-01-01 00:01:20
2.0,0.0,1.0,426.4,4.0,0.6,596.8799926756,2025-01-01 00:01:25
2.0,0.0,1.0,426.0,4.0,0.0,596.4039794921999,2025-01-01 00:01:30
2.0,0.0,0.8,426.0,4.0,0.2,595.1839965818,2025-01-01 00:01:35
2.0,0.0,0.6,425.8,4.0,0.6,595.1640014648,2025-01-01 00:01:40
2.0,0.0,0.8,425.8,4.0,0.2,595.2140014646,2025-01-01 00:01:45
2.0,0.0,0.8,425.4,4.0,0.4,595.0320190432001,2025-01-01 00:01:50
2.0,0.0,1.0,425.0,4.0,0.4,594.3479858398,2025-01-01 00:01:55
2.0,0.0,1.0,425.6,4.0,0.2,594.4099975586,2025-01-01 00:02:00
2.0,0.0,0.8,425.8,4.0,1.0,595.3319946288,2025-01-01 00:02:05
2.0,0.0,0.6,425.4,4.0,1.0,594.568005371,2025-01-01 00:02:10
2.0,0.0,0.6,425.2,4.0,0.6,594.6640014648,2025-01-01 00:02:15
2.0,0.0,0.6,425.0,4.0,0.6,594.965991211,2025-01-01 00:02:20
2.0,0.0,0.8,426.0,4.0,0.8,596.5340209964,2025-01-01 00:02:25
2.0,0.0,1.0,425.6,4.0,0.6,596.5659912108,2025-01-01 00:02:30
2.0,0.0,0.8,425.8,4.0,1.0,595.2460083008,2025-01-01 00:02:35
2.0,0.0,1.0,426.0,4.0,0.6,596.2719970704,2025-01-01 00:02:40
