dish washer,electric space heater,electric stove,fridge,microwave,washer dryer,main,timestamp
0.0,0.0,0.0,13.8,4.0,0.0,257.0179962156,2025-01-01 00:00:00
0.0,0.0,0.0,6.0,4.0,0.0,250.45200195299998,2025-01-01 00:00:05
0.0,0.0,0.0,6.0,4.0,0.0,251.0219970702,2025-01-01 00:00:10
0.0,0.0,0.0,6.0,4.0,0.0,251.78999938980002,2025-01-01 00:00:15
0.0,0.0,0.0,6.0,4.0,0.0,251.3220001222,2025-01-01 00:00:20
0.0,0.0,0.0,6.0,4.0,0.0,251.09600219700002,2025-01-01 00:00:25
0.0,0.0,0.0,6.0,4.0,0.0,251.483996582,2025-01-01 00:00:30
0.0,0.0,0.0,6.0,4.0,0.0,252.4979919434,2025-01-01 00:00:35
0.0,0.0,0.0,6.0,4.0,0.0,252.57000122099998,2025-01-01 00:00:40
0.0,0.0,0.0,6.0,4.0,0.0,252.0940063478,2025-01-01 00:00:45
0.0,0.0,0.0,6.0,4.0,0.0,251.17200317380002,2025-01-01 00:00:50
0.0,0.0,0.0,6.0,4.0,0.0,247.80199584940002,2025-01-01 00:00:55
0.0,0.0,0.0,6.0,4.0,0.0,247.42599792480001,2025-01-01 00:01:00
0.0,0.0,0.0,6.0,4.0,0.0,246.875997925,2025-01-01 00:01:05
0.0,0.0,0.0,6.0,4.0,0.0,246.47399902319998,2025-01-01 00:01:10
0.0,0.0,0.0,6.0,4.0,0.0,246.78399658200001,2025-01-01 00:01:15
0.0,0.0,0.0,6.2,4.0,0.0,246.1339965822,2025-01-01 00:01:20
0.0,0.0,0.0,6.0,4.0,0.0,246.5200042722,2025-01-01 00:01:25
0.0,0.0,0.0,6.0,4.0,0.0,246.64000244140001,2025-01-01 00:01:30
0.0,0.0,0.0,6.0,4.0,0.0,246.1600006104,2025-01-01 00:01:35
0.0,0.0,0.0,6.0,4.0,0.0,246.619998169,2025-01-01 00:01:40
0.0,0.0,0.0,6.0,4.0,0.0,248.11600036660002,2025-01-01 00:01:45
0.0,0.0,0.0,6.0,4.0,0.0,247.37000122039998,2025-01-01 00:01:50
0.0,0.0,0.0,6.0,4.0,0.0,246.83399963379998,2025-01-01 00:01:55
0.0,0.0,0.0,6.0,4.0,0.0,248.56000366220002,2025-01-01 00:02:00
0.0,0.0,0.0,6.0,4.0,0.0,248.23200683599998,2025-01-01 00:02:05
0.0,0.0,0.0,6.0,4.0,0.0,246.6740051268,2025-01-01 00:02:10
0.0,0.0,0.0,6.0,4.0,0.0,246.61399536119998,2025-01-01 00:02:15
0.0,0.0,0.0,6.0,4.0,0.0,246.7459991454,2025-01-01 00:02:20
