dish washer,electric space heater,electric stove,fridge,microwave,washer dryer,main,timestamp
0.0,0.0,0.0,6.6,4.6,0.0,313.66998901380003,2025-01-01 00:00:00
0.0,0.0,0.0,6.8,4.6,0.0,312.6140075684,2025-01-01 00:00:05
0.0,0.0,0.0,6.8,4.2,0.0,313.2399963378,2025-01-01 00:00:10
0.0,0.0,0.0,7.0,4.4,0.0,313.87399902360005,2025-01-01 00:00:15
0.0,0.0,0.0,6.6,4.4,0.0,315.09199829119996,2025-01-01 00:00:20
0.0,0.0,0.0,6.4,4.2,0.0,314.0999938964,2025-01-01 00:00:25
0.0,0.0,0.0,7.0,4.0,0.0,313.279992676,2025-01-01 00:00:30
0.0,0.0,0.0,6.8,4.2,0.0,313.90198974599997,2025-01-01 00:00:35
0.0,0.0,0.0,6.8,4.2,0.0,317.2100097656,2025-01-01 00:00:40
2.8,0.0,0.2,485.2,4.2,0.0,827.5580200193999,2025-01-01 00:00:45
0.0,0.0,0.0,223.6,4.0,0.2,525.0240112302001,2025-01-01 00:00:50
0.0,0.0,0.0,208.8,4.0,0.4,509.9719909668,2025-01-01 00:00:55
0.0,0.0,0.0,208.0,4.0,0.0,507.9499999998,2025-01-01 00:01:00
0.0,0.0,0.0,203.6,4.0,0.0,507.45,2025-01-01 00:01:05
0.0,0.0,0.0,203.2,4.2,0.0,505.0079956052,2025-01-01 00:01:10
0.0,0.0,0.0,203.4,4.0,0.0,505.37399902360005,2025-01-01 00:01:15
0.0,0.0,0.0,203.2,4.4,0.6,504.56000366219996,2025-01-01 00:01:20
0.4,0.0,0.0,202.8,4.4,0.2,504.605987549,2025-01-01 00:01:25
0.2,0.0,0.0,202.0,4.4,0.0,502.5859985352,2025-01-01 00:01:30
0.2,0.0,0.0,201.6,4.4,0.0,501.8000122068,2025-01-01 00:01:35
0.0,0.0,0.0,201.2,4.4,0.0,501.60999755880005,2025-01-01 00:01:40
0.2,0.0,0.0,201.0,4.2,0.4,501.6380065918,2025-01-01 00:01:45
0.2,0.0,0.0,201.2,4.0,0.0,500.434008789,2025-01-01 00:01:50
16.2,0.0,0.0,200.4,4.6,0.6,511.42600097639996,2025-01-01 00:01:55
10.6,0.0,0.0,216.0,4.0,0.6,520.9399780274,2025-01-01 00:02:00
9.6,0.0,0.0,216.8,4.0,0.4,533.6280029296,2025-01-01 00:02:05
229.4,0.0,0.0,201.2,4.2,0.2,549.158001709,2025-01-01 00:02:10
8.0,0.0,0.0,200.2,4.4,0.8,510.7380004884,2025-01-01 00:02:15
47.8,0.0,0.0,200.8,4.8,0.4,577.7259948732001,2025-01-01 00:02:20
211.2,0.0,0.0,199.8,4.4,0.0,701.997998047,2025-01-01 00:02:25
207.8,0.0,0.0,199.6,4.0,0.0,699.0960083006,2025-01-01 00:02:30
208.0,0.0,0.0,198.8,4.4,0.0,698.6179931642,2025-01-01 00:02:35
208.0,0.0,0.0,198.6,4.2,0.0,697.7339965819999,2025-01-01 00:02:40
208.2,0.0,0.0,198.6,4.2,0.0,697.5179931639999,2025-01-01 00:02:45
207.8,0.0,0.0,197.8,4.2,0.0,697.6619873046,2025-01-01 00:02:50
124.8,0.0,0.0,222.4,4.0,0.0,638.3859863282,2025-01-01 00:02:55
1.8,0.0,0.0,206.8,4.4,0.4,510.254003906,2025-01-01 00:03:00
166.6,0.0,0.0,207.8,4.0,0.0,617.200012207,2025-01-01 00:03:05
206.4,0.0,0.0,198.6,4.0,0.0,574.5599975584,2025-01-01 00:03:10
206.8,0.0,0.0,198.6,4.0,0.0,574.7280029298,2025-01-01 00:03:15
205.8,0.0,0.0,197.8,4.0,0.0,574.4999877930001,2025-01-01 00:03:20
205.6,0.0,0.0,198.2,4.0,0.0,574.382006836,2025-01-01 00:03:25
205.6,0.0,0.0,197.6,4.0,0.0,574.6279907226001,2025-01-01 00:03:30
206.4,0.0,0.0,197.2,4.0,0.0,574.0419921874,2025-01-01 00:03:35
207.2,0.0,0.0,197.0,4.0,0.0,572.9500122068,2025-01-01 00:03:40
207.0,0.0,0.0,196.6,4.0,0.0,573.1340087890001,2025-01-01 00:03:45
206.8,0.0,0.0,195.8,4.0,0.0,571.8420166014,2025-01-01 00:03:50
165.4,0.0,0.0,195.8,4.0,0.0,532.007989502,2025-01-01 00:03:55
1.2,0.0,0.0,195.6,4.0,0.0,367.4140014646,2025-01-01 00:04:00
83.6,0.0,0.0,194.8,4.0,0.0,457.98999633799997,2025-01-01 00:04:05
207.0,0.0,0.0,194.6,4.0,0.0,570.7479858398,2025-01-01 00:04:10
206.0,0.0,0.0,194.4,4.0,0.0,569.0820190428,2025-01-01 00:04:15
206.0,0.0,0.0,194.6,4.0,0.0,568.1920166013999,2025-01-01 00:04:20
43.2,0.0,0.0,193.0,4.0,0.0,403.7240112306,2025-01-01 00:04:25
1.4,0.0,0.0,193.4,4.0,0.0,424.529992676,2025-01-01 00:04:30
246.8,0.0,0.0,190.8,4.0,0.0,638.2580322261999,2025-01-01 00:04:35
238.0,0.0,0.0,192.8,4.0,0.0,631.0319946288,2025-01-01 00:04:40
173.0,0.0,0.0,192.4,4.0,0.0,607.014001465,2025-01-01 00:04:45
84.4,0.0,0.0,191.4,4.0,0.0,499.7480041502,2025-01-01 00:04:50
33.8,0.0,0.0,192.2,4.0,0.2,431.90200195319994,2025-01-01 00:04:55
33.6,0.0,0.0,191.2,4.0,0.2,429.2480041502,2025-01-01 00:05:00
34.4,0.0,0.0,191.6,4.0,0.0,428.69799194340004,2025-01-01 00:05:05
6.0,0.0,0.0,190.4,4.0,0.0,362.492010498,2025-01-01 00:05:10
6.0,0.0,0.0,191.4,4.0,0.4,362.1920166016,2025-01-01 00:05:15
6.0,0.0,0.0,190.0,4.0,0.0,361.2140014646,2025-01-01 00:05:20
6.0,0.0,0.0,190.6,4.0,0.2,361.6179992674,2025-01-01 00:05:25
6.0,0.0,0.0,189.2,4.0,0.0,360.6540161132,2025-01-01 00:05:30
3.2,0.0,0.0,190.2,4.0,0.0,358.6979919436,2025-01-01 00:05:35
167.0,0.0,0.0,189.8,4.0,0.0,525.6820068357999,2025-01-01 00:05:40
223.0,0.0,0.0,189.8,4.0,0.0,581.6199951176001,2025-01-01 00:05:45
221.0,0.0,0.0,188.8,4.0,0.0,581.5520141604,2025-01-01 00:05:50
210.2,0.0,0.0,188.4,4.0,0.0,565.7919921874,2025-01-01 00:05:55
210.6,0.0,0.0,189.2,4.0,0.0,564.6040039064,2025-01-01 00:06:00
209.0,0.0,0.0,188.0,4.0,0.0,562.3140136718,2025-01-01 00:06:05
209.4,0.0,0.0,188.6,4.0,0.0,561.6040161132,2025-01-01 00:06:10
210.4,0.0,0.0,188.6,4.0,0.0,562.1940063476001,2025-01-01 00:06:15
209.4,0.0,0.0,188.4,4.0,0.0,564.113989258,2025-01-01 00:06:20
209.4,0.0,0.0,187.6,4.0,0.0,562.2820068362,2025-01-01 00:06:25
209.0,0.0,0.0,188.4,4.0,0.0,561.4279907227999,2025-01-01 00:06:30
209.8,0.0,0.0,187.2,4.0,0.0,561.1540161134001,2025-01-01 00:06:35
210.0,0.0,0.0,188.0,4.0,0.0,562.1719970706,2025-01-01 00:06:40
616.4,0.0,0.0,187.0,4.0,0.2,973.9259887704,2025-01-01 00:06:45
1147.8,0.0,0.0,187.0,4.0,1.0,1506.273950196,2025-01-01 00:06:50
1133.8,0.0,0.0,187.8,4.0,1.4,1491.509985354,2025-01-01 00:06:55
1134.2,0.0,0.0,186.4,4.0,1.2,1492.74404297,2025-01-01 00:07:00
1136.2,0.0,0.0,185.8,4.0,1.0,1493.647998046,2025-01-01 00:07:05
1133.8,0.0,0.0,188.0,4.0,1.0,1494.01201172,2025-01-01 00:07:10
1134.4,0.0,0.0,186.6,4.0,1.0,1493.966015624,2025-01-01 00:07:15
228.4,0.0,0.0,187.0,4.0,0.6,582.719989014,2025-01-01 00:07:20
1020.2,0.0,0.0,186.0,4.0,0.8,1294.5760009780001,2025-01-01 00:07:25
1136.0,0.0,0.0,77.8,4.0,1.6,1385.0800048859999,2025-01-01 00:07:30
1132.8,0.0,0.0,6.0,4.0,2.0,1308.375976562,2025-01-01 00:07:35
1131.0,0.0,0.0,6.0,4.0,1.2,1306.13005371,2025-01-01 00:07:40
1133.8,0.0,0.0,6.0,4.0,1.8,1310.860009764,2025-01-01 00:07:45
1134.6,0.0,0.0,6.0,4.0,2.0,1310.234057616,2025-01-01 00:07:50
1139.8,0.0,0.0,6.0,4.0,2.0,1315.358032226,2025-01-01 00:07:55
1141.8,0.0,0.0,6.0,4.0,2.0,1319.48400879,2025-01-01 00:08:00
1153.2,0.0,0.0,6.0,4.0,1.8,1330.485986328,2025-01-01 00:08:05
1149.6,0.0,0.0,6.0,4.0,1.8,1329.2119384760001,2025-01-01 00:08:10
232.4,0.0,0.0,6.4,4.0,0.8,568.1339965826,2025-01-01 00:08:15
948.0,0.0,0.0,6.0,4.0,1.6,1128.995996094,2025-01-01 00:08:20
1143.6,0.0,0.0,6.0,4.0,2.0,1323.60600586,2025-01-01 00:08:25
1144.6,0.0,0.0,6.0,4.0,2.0,1324.745971682,2025-01-01 00:08:30
1143.6,0.0,0.0,5.8,4.0,1.6,1323.39802246,2025-01-01 00:08:35
1139.0,0.0,0.0,6.0,4.0,2.0,1316.000048828,2025-01-01 00:08:40
1141.0,0.0,0.0,6.0,4.0,2.0,1320.931982422,2025-01-01 00:08:45
1135.8,0.0,0.0,6.0,4.0,1.6,1313.509960938,2025-01-01 00:08:50
1140.0,0.0,0.0,6.0,4.0,2.0,1315.9739501919998,2025-01-01 00:08:55
1143.2,0.0,0.0,6.0,4.0,1.4,1320.725976562,2025-01-01 00:09:00
1146.6,0.0,0.0,5.8,4.0,1.4,1323.726000976,2025-01-01 00:09:05
505.6,0.0,0.0,6.6,4.0,0.2,688.3100280754,2025-01-01 00:09:10
795.0,0.0,0.0,6.4,4.0,0.8,987.518005372,2025-01-01 00:09:15
1144.8,0.0,0.0,6.0,4.0,1.6,1322.726000976,2025-01-01 00:09:20
1145.8,0.0,0.0,6.0,4.0,2.0,1323.50600586,2025-01-01 00:09:25
1142.6,0.0,0.0,6.0,4.0,2.0,1323.26804199,2025-01-01 00:09:30
1144.0,0.0,0.0,6.0,4.0,1.8,1321.462011718,2025-01-01 00:09:35
1142.6,0.0,0.0,6.0,4.0,1.8,1319.45,2025-01-01 00:09:40
1140.0,0.0,0.0,6.0,4.0,1.8,1316.11196289,2025-01-01 00:09:45
1139.0,0.0,0.0,6.0,4.0,1.6,1316.945971678,2025-01-01 00:09:50
1138.4,0.0,0.0,6.0,4.0,1.8,1316.569995116,2025-01-01 00:09:55
1143.0,0.0,0.0,6.0,4.0,2.0,1318.410009768,2025-01-01 00:10:00
1140.2,0.0,0.0,6.0,4.0,2.0,1317.142016598,2025-01-01 00:10:05
1139.4,0.0,0.0,6.0,4.0,1.8,1316.341967772,2025-01-01 00:10:10
1139.6,0.0,0.0,6.0,4.0,1.8,1317.701953126,2025-01-01 00:10:15
1140.4,0.0,0.0,6.0,4.0,2.0,1317.349999998,2025-01-01 00:10:20
1141.0,0.0,0.0,6.0,4.0,1.8,1317.645971678,2025-01-01 00:10:25
1138.6,0.0,0.0,6.0,4.0,2.0,1317.2340332019999,2025-01-01 00:10:30
1135.6,0.0,0.0,6.0,4.0,2.0,1314.852001956,2025-01-01 00:10:35
1136.6,0.0,0.0,6.0,4.0,1.8,1311.3720458980001,2025-01-01 00:10:40
1138.4,0.0,0.0,6.0,4.0,1.4,1313.942016604,2025-01-01 00:10:45
1136.6,0.0,0.0,6.0,4.0,2.0,1313.238012694,2025-01-01 00:10:50
1135.6,0.0,0.0,6.0,4.0,2.0,1311.4440185560002,2025-01-01 00:10:55
1139.2,0.0,0.0,6.0,4.0,1.8,1315.036010742,2025-01-01 00:11:00
1135.4,0.0,0.0,6.0,4.0,1.6,1312.65600586,2025-01-01 00:11:05
1134.2,0.0,0.0,6.0,4.0,2.0,1311.570068356,2025-01-01 00:11:10
1139.4,0.0,0.0,6.0,4.0,2.0,1318.2519775380001,2025-01-01 00:11:15
1140.6,0.0,0.0,6.0,4.0,2.0,1316.987963866,2025-01-01 00:11:20
1138.8,0.0,0.0,6.0,4.0,1.8,1318.57998047,2025-01-01 00:11:25
1137.4,0.0,0.0,6.0,4.0,1.8,1318.5479736319999,2025-01-01 00:11:30
1139.6,0.0,0.0,6.0,4.0,2.0,1319.068041994,2025-01-01 00:11:35
1137.4,0.0,0.0,6.0,4.0,2.0,1318.7580078120002,2025-01-01 00:11:40
1138.8,0.0,0.0,6.0,4.0,1.8,1319.605981446,2025-01-01 00:11:45
1138.0,0.0,0.0,6.0,4.0,2.0,1316.982006838,2025-01-01 00:11:50
1139.8,0.0,0.0,6.0,4.0,1.8,1318.798022462,2025-01-01 00:11:55
1138.6,0.0,0.0,6.0,4.0,2.0,1316.752001956,2025-01-01 00:12:00
1136.6,0.0,0.0,6.0,4.0,2.0,1315.399975584,2025-01-01 00:12:05
